title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
One Flew Over the Cuckoo's Nest,133,Drama,Milos Forman,Lawrence Hauben;Bo Goldman,Jack Nicholson;Louise Fletcher;Michael Berryman, 8.7 ,"626,874"
The Lord of the Rings: The Two Towers,179,Adventure;Fantasy,Peter Jackson,J.R.R. Tolkien;Fran Walsh,Elijah Wood;Ian McKellen;Viggo Mortensen, 8.7 ,"1,003,927"
Goodfellas,146,Biography;Crime,Martin Scorsese,Nicholas Pileggi;Nicholas Pileggi,Robert De Niro;Ray Liotta;Joe Pesci, 8.7 ,"667,981"
The Matrix,136,Action;Sci-Fi,Andy Wachowski;Lana Wachowski,Andy Wachowski;Lana Wachowski,Keanu Reeves;Laurence Fishburne;Carrie-Anne Moss, 8.7 ,"1,113,587"
Star Wars: Episode IV - A New Hope,121,Action;Adventure,George Lucas,George Lucas,Mark Hamill;Harrison Ford;Carrie Fisher, 8.7 ,"798,437"
Shichinin no samurai,207,Drama,Akira Kurosawa,Akira Kurosawa;Shinobu Hashimoto,Toshirô Mifune;Takashi Shimura;Keiko Tsushima, 8.7 ,"212,358"
City of God,130,Crime;Drama,Fernando Meirelles;Kátia Lund,Paulo Lins;Bráulio Mantovani,Alexandre Rodrigues;Matheus Nachtergaele;Leandro Firmino, 8.7 ,"491,837"
Se7en,127,Crime;Drama,David Fincher,Andrew Kevin Walker,Morgan Freeman;Brad Pitt;Kevin Spacey, 8.6 ,"931,678"
The Silence of the Lambs,118,Crime;Drama,Jonathan Demme,Thomas Harris;Ted Tally,Jodie Foster;Anthony Hopkins;Lawrence A. Bonney, 8.6 ,"801,342"
The Usual Suspects,106,Crime;Drama,Bryan Singer,Christopher McQuarrie,Kevin Spacey;Gabriel Byrne;Chazz Palminteri, 8.6 ,"679,898"
It's a Wonderful Life,130,Drama;Family,Frank Capra,Frances Goodrich;Albert Hackett,James Stewart;Donna Reed;Lionel Barrymore, 8.6 ,"250,136"
